// HASH_VALUE 48835A17757D34E5
// INDEX 0
abandon_mission	[&TSK&Вы прервали выполнение задания.]
boss_mainland_matis_trick3_05	[Пэй-Чжао Разрушитель!]

// HASH_VALUE 6B4529749FE395E5
// INDEX 173
boss_mainland_matis_trick3_06	[Для начала Аэн: бесстрашные искатели приключений думали, что могут противостоять Клинку Пустыни... Посмотрим этот бой еще раз!]

// HASH_VALUE 1260705E4DCF354F
// INDEX 174
boss_mainland_matis_trick3_07	[Ммм... ну хорошо, история продолжается...]

// HASH_VALUE A113D0F5375F9C65
// INDEX 175
boss_mainland_matis_trick3_08	[Их следующим противником оказалась Свирепая Ликси... У наших героев не было ни единого шанса!]

// HASH_VALUE 28E3436792337972
// INDEX 176
boss_mainland_matis_trick3_09	[Вы не слишком-то мне помогаете. Давайте продолжим...]

// HASH_VALUE 2E41FE66BEF66CB1
// INDEX 177
boss_mainland_matis_trick3_10	[Пэй Чжао! Великий Пэй Чжао! Из всех, кто отважился выйти против него, ни один не остался в живых.]

// HASH_VALUE 68F842E85A7AD0FE
// INDEX 178
boss_mainland_matis_trick3_11	[Но...! Вы испортили мою историю! Ну ладно, концовку допишу сам!]

// HASH_VALUE 3BECECDEB41D9DEC
// INDEX 179
boss_mainland_tryker_boss_txt1	[Идите сюда, там опасно.]

// HASH_VALUE F0DCA0C8045B7A19
// INDEX 180
boss_mainland_tryker_boss_txt2	[На вашем месте я бы туда не ходил.]

// HASH_VALUE D782681BCDAEF4F1
// INDEX 181
boss_mainland_tryker_mine_sound	[&BBL&Click]

// HASH_VALUE B09C3A08B9ED49C4
// INDEX 182
boss_tryker_light_bosshelpme	[Мои братья спешат на помощь!]

// HASH_VALUE 403819C07B2BECF3
// INDEX 183
boss_tryker_light_defendme	[Охрана! На помощь!]

// HASH_VALUE CC3DA7EFC7EC9FD7
// INDEX 184
boss_tryker_light_mission_01_touchstone	[Прикоснуться к камню]

// HASH_VALUE 2AC34468F364CDF9
// INDEX 185
boss_tryker_light_mission_02_desc	[Отправляйтесь на место встречи и разыщите Веселого Данте]

// HASH_VALUE 788998BCFC1D5201
// INDEX 186
boss_tryker_light_mission_02_title	[В поисках Веселого Данте]

// HASH_VALUE CC3DA7EFC7EC9FD7
// INDEX 187
boss_tryker_light_mission_03_touchstone	[Прикоснуться к камню]

// HASH_VALUE 87BA71D3BF0E3D0B
// INDEX 188
boss_tryker_light_mission_04_openbox	[Откройте окно]

// HASH_VALUE 342D2EE7EE7E77FF
// INDEX 189
boss_tryker_light_mission_team_breakcrate	[Разбить ящик]

// HASH_VALUE 93412AFD75DB7058
// INDEX 190
boss_tryker_light_mission_team_desc	[Разбейте ящик, который выбросил Данте.]

// HASH_VALUE 40771D99A0114DAF
// INDEX 191
boss_tryker_light_mission_team_obj	[Прикоснитесь к камню, который заколдовал вашу команду.]

// HASH_VALUE 7CAC64C2340A30D2
// INDEX 192
boss_tryker_light_mission_team_title	[Игра Данте]

// HASH_VALUE 996DDD1F8C4D0298
// INDEX 193
boss_tryker_light_prepareyourself	[Собери команду и приходи играть со мной! Следи за временем, его может не хватить.]

// HASH_VALUE 43BCECFBEEEDF999
// INDEX 194
boss_tryker_light_scared1	[Тебе никогда не поймать меня!]

// HASH_VALUE 467DF4D2818DFCC7
// INDEX 195
boss_tryker_light_scared2	[Коружию, бездельники!]

// HASH_VALUE D480003AD320765A
// INDEX 196
boss_tryker_light_scared3	[Как ты смеешь ступать на мою территорию?!]

// HASH_VALUE 50C6136B60C6136B
// INDEX 197
boss_tryker_light_scared4	[Haaaaaaaa!]

// HASH_VALUE C8304440D2EAB14A
// INDEX 198
boss_tryker_light_start	[Хочешь поиграть? Надеюсь, тебе пришло в голову прихватить с собой друзей!]

// HASH_VALUE C49A5CCFFF9C54EB
// INDEX 199
boss_zorai_light_dalton_hello_1	[Я бы даже сказал: Привет!]

// HASH_VALUE 7FDC82D7402C5817
// INDEX 200
boss_zorai_light_dalton_hello_2	[Позволь поприветствовать тебя!]

// HASH_VALUE F6FE98C5FA8FA0DB
// INDEX 201
boss_zorai_light_dalton_hello_3	[Приветствую!]

// HASH_VALUE 33CBB4F183C9AC14
// INDEX 202
boss_zorai_light_dalton_hello_4	[Мой поклон!]

// HASH_VALUE 3C7919EFF819C9C1
// INDEX 203
boss_zorai_light_end_daltons	[Ну и ну... Что бы там ни было - на самом деле они не были братьями.]

// HASH_VALUE 630E1202034B4992
// INDEX 204
boss_zorai_light_end_infectedgroup	[Хорошооо! Нужно еще поработать над ними, пока они недостаточно... эффективны.]

// HASH_VALUE 721611AA659FA8F1
// INDEX 205
boss_zorai_light_end_laughtingsbires	[Похоже, вы пошустрее остальных. Хотел бы я вас нанять, но увы - мы воюем на разных сторонах.]

// HASH_VALUE F13DF1C27CBCD6C2
// INDEX 206
boss_zorai_light_end_magicdamage	[И что же мне с вами делать?]

// HASH_VALUE 8B0648D755C690F1
// INDEX 207
boss_zorai_light_final_fight	[Шутки в сторону! У меня больше нет времени на детские забавы!]

// HASH_VALUE 060F80DA804DF01E
// INDEX 208
boss_zorai_light_laughtingsbire_1	[Объясняю правила игры: вы умрете!]

// HASH_VALUE 2A7649B65CA69891
// INDEX 209
boss_zorai_light_laughtingsbire_2	[Даже наджаб двигается проворнее! Вам не суждено победить.]

// HASH_VALUE AA3CE9FDC14CB2F9
// INDEX 210
boss_zorai_light_laughtingsbire_3	[Гордитесь! Вы умрете в бою!]

// HASH_VALUE 845D29EA3FDA20F8
// INDEX 211
boss_zorai_light_laughtingsbire_4	[Крошка фриппо, тададам!]

// HASH_VALUE CC713922702C8E2B
// INDEX 212
boss_zorai_light_laughtingsbire_last	[Что вы делаете? Похоже, игры кончились!]

// HASH_VALUE CC3DA7EFC7EC9FD7
// INDEX 213
boss_zorai_light_mission_in_out_touchstone	[Прикоснуться к камню]

// HASH_VALUE CC3DA7EFC7EC9FD7
// INDEX 214
boss_zorai_light_mission_out_in_touchstone	[Прикоснуться к камню]

// HASH_VALUE BC3471FB72129146
// INDEX 215
boss_zorai_light_session_failed	[У вас хватает наглости приближаться к моему лагерю, но вы кажетесь безвредными. Впрочем... у меня нет на вас времени. Убирайтесь прочь!]

// HASH_VALUE EE06D911B30158FB
// INDEX 216
boss_zorai_light_start	[Но... Но как вы смеете входить в мою лабораторию?! Мне кажется, вам следует преподать хороший урок.]

// HASH_VALUE 1DB376D76068D3E0
// INDEX 217
boss_zorai_light_daltons	[Это четыре брата До-Дуанг. Они сведут вас с ума до того, как вы успеете даже прикоснуться к ним!]

// HASH_VALUE 2A0494CD6711B867
// INDEX 218
boss_zorai_light_start_infectedgroup	[Посмотрим, сумеет ли моя игара защитить меня. Вперед, моя красавица, не оставляй ни крошки!]

// HASH_VALUE D3D0E2A963F16669
// INDEX 219
boss_zorai_light_start_laughtingsbires	[Пришла пора обратиться за помощью к моим подручным. Последствия - на вашей совести.]

// HASH_VALUE 2DCEC27BA2FDBBA9
// INDEX 220
boss_zorai_light_start_magicdamage	[Вы что, не понимаете, что напрасно тратите мое время? Придется объяснить получше...]

// HASH_VALUE 1F5FDFA20C82C44E
// INDEX 221
cant_craft_engaged_melee	[&CHK&Вы не можете изготовить предмет во время боя! Изготовление предмета прервано!]

// HASH_VALUE A50C14954870E658
// INDEX 222
cant_craft_when_dead	[&CHKCB&Вы погибли во время изготовления предмета! Изготовление предмета прервано!]

// HASH_VALUE 3C3CBC49B5F8BFB9
// INDEX 223
cant_forage_engaged_in_melee	[&CHKCB&Вы не можете добывать ресурсы во время боя! Добыча прервана!]

// HASH_VALUE D271B20DCF3D30E0
// INDEX 224
cant_found_item	[&CHK&Предмет в ячейке $i$ не обнаружен.]

// HASH_VALUE A504A5B8E158FD61
// INDEX 225
cant_found_rm	[&CHK&В вашем инвентаре есть не все необходимое сырье! Изготовление предмета прервано!]

// HASH_VALUE 2C6C5AA6A0C99D7C
// INDEX 226
cant_lock_rm	[&CHK&Невозможно истратить все выбранное вами сырье на изготовление предмета! Часть сырья предназначена для других целей. Изготовление предмета прервано!]

// HASH_VALUE 730B640CFDCD39F3
// INDEX 227
casino_igotjackticket	[Я выиграл джекпот!]

// HASH_VALUE 514E00477B8E39ED
// INDEX 228
casino_igottitleticket	[Я выиграл купон на получение титула.]

// HASH_VALUE 83DD54D4BFFC2D13
// INDEX 229
casino_insert_coin	[Разыграть жетон]

// HASH_VALUE 171F9D1E01AE83EC
// INDEX 230
casino_jackpotgrats	[Везунчик, ты выиграл целое состояние!]

// HASH_VALUE 84CFDAAEBADD4DE3
// INDEX 231
casino_lose	[&AMB&Ты проиграл!]

// HASH_VALUE 760C90AEC22CCCE8
// INDEX 232
casino_nothing	[Вот незадача!]

// HASH_VALUE 3CCC29C13B8C29BF
// INDEX 233
casino_off	[Временно не работает]

// HASH_VALUE 2008008020080080
// INDEX 234
casino_popup	[ ]

// HASH_VALUE CFC22E9C0DDA6027
// INDEX 235
casino_title1grats	[Поздравляю! Ты очень удачлив, как я погляжу, тебе хорошо подойдет этот титул.]

// HASH_VALUE 94CFDE36D0E09D9F
// INDEX 236
casino_title1repeat	[И снова ты! Удача следует за тобой, я обменяю выигранные тобой билеты на жетоны.]

// HASH_VALUE DB282147D84AF845
// INDEX 237
casino_title2grats	[Играешь много, а выигрываешь мало? Должно быть, ты принадлежишь к одной большой семье – семье неудаников!]

// HASH_VALUE CDDC416BCA079284
// INDEX 238
casino_title2repeat	[Да! Ты достоин своего титула! Как жаль, что сейчас мне нечего тебе предложить!]

// HASH_VALUE B50E0EE7B92B61AB
// INDEX 239
casino_wheel	[&AMB&Сыграем...]

// HASH_VALUE F6EB7BE9701EDEED
// INDEX 240
casino_winjackpot	[&AMB&Вы выигрывали джекпот!]

// HASH_VALUE C11FD2A1BC8B01EB
// INDEX 241
casino_win_r2	[&AMB&Вы выиграли!]

// HASH_VALUE 7E6CBEA0BE39AA01
// INDEX 242
casino_win_r3	[&AMB& Вы выиграли!]

// HASH_VALUE 7E6CBEA0BE39AA01
// INDEX 243
casino_win_r4	[&AMB& Вы выиграли!]

// HASH_VALUE 7C8E5AA0B8FDE0E7
// INDEX 244
casino_win_r5	[&AMB&Вы выиграли главный приз!]

// HASH_VALUE 9A3B5200D05182EC
// INDEX 245
certifs_rpjob_certifs_title	[Использовать ваши $certifs.p$]
